household_id,timestamp,consumption_kwh
H001,2025-09-10 00:00,2.41
H001,2025-09-10 01:00,1.8
H001,2025-09-10 02:00,0.84
H001,2025-09-10 03:00,2.07
H001,2025-09-10 04:00,1.18
H001,2025-09-10 05:00,1.02
H001,2025-09-10 06:00,1.38
H001,2025-09-10 07:00,1.0
H001,2025-09-10 08:00,1.97
H001,2025-09-10 09:00,0.87
H001,2025-09-10 10:00,1.86
H001,2025-09-10 11:00,1.67
H001,2025-09-10 12:00,2.16
H001,2025-09-10 13:00,1.08
H001,2025-09-10 14:00,0.7
H001,2025-09-10 15:00,1.62
H001,2025-09-10 16:00,
H001,2025-09-10 17:00,1.59
H001,2025-09-10 18:00,0.85
H001,2025-09-10 19:00,0.91
H001,2025-09-10 20:00,0.5
H001,2025-09-10 21:00,1.62
H001,2025-09-10 22:00,2.14
H001,2025-09-10 23:00,0.89
H002,2025-09-10 00:00,0.65
H002,2025-09-10 01:00,2.23
H002,2025-09-10 02:00,0.93
H002,2025-09-10 03:00,1.12
H002,2025-09-10 04:00,0.68
H002,2025-09-10 05:00,1.01
H002,2025-09-10 06:00,
H002,2025-09-10 07:00,2.1
H002,2025-09-10 08:00,1.56
H002,2025-09-10 09:00,2.32
H002,2025-09-10 10:00,0.88
H002,2025-09-10 11:00,0.6
H002,2025-09-10 12:00,2.21
H002,2025-09-10 13:00,2.48
H002,2025-09-10 14:00,1.49
H002,2025-09-10 15:00,1.3
H002,2025-09-10 16:00,1.02
H002,2025-09-10 17:00,2.0
H002,2025-09-10 18:00,1.93
H002,2025-09-10 19:00,0.64
H002,2025-09-10 20:00,2.5
H002,2025-09-10 21:00,2.4
H002,2025-09-10 22:00,1.33
H002,2025-09-10 23:00,0.7
H003,2025-09-10 00:00,1.43
H003,2025-09-10 01:00,0.94
H003,2025-09-10 02:00,0.82
H003,2025-09-10 03:00,1.15
H003,2025-09-10 04:00,2.41
H003,2025-09-10 05:00,1.28
H003,2025-09-10 06:00,2.47
H003,2025-09-10 07:00,0.51
H003,2025-09-10 08:00,2.21
H003,2025-09-10 09:00,0.54
H003,2025-09-10 10:00,2.47
H003,2025-09-10 11:00,0.75
H003,2025-09-10 12:00,2.11
H003,2025-09-10 13:00,1.14
H003,2025-09-10 14:00,2.11
H003,2025-09-10 15:00,1.67
H003,2025-09-10 16:00,1.86
H003,2025-09-10 17:00,0.57
H003,2025-09-10 18:00,1.78
H003,2025-09-10 19:00,0.58
H003,2025-09-10 20:00,2.25
H003,2025-09-10 21:00,
H003,2025-09-10 22:00,0.99
H003,2025-09-10 23:00,0.95
H004,2025-09-10 00:00,1.13
H004,2025-09-10 01:00,1.73
H004,2025-09-10 02:00,2.12
H004,2025-09-10 03:00,1.13
H004,2025-09-10 04:00,1.66
H004,2025-09-10 05:00,2.16
H004,2025-09-10 06:00,0.7
H004,2025-09-10 07:00,0.79
H004,2025-09-10 08:00,1.04
H004,2025-09-10 09:00,0.86
H004,2025-09-10 10:00,1.44
H004,2025-09-10 11:00,0.77
H004,2025-09-10 12:00,0.78
H004,2025-09-10 13:00,0.82
H004,2025-09-10 14:00,0.58
H004,2025-09-10 15:00,1.78
H004,2025-09-10 16:00,2.35
H004,2025-09-10 17:00,0.9
H004,2025-09-10 18:00,2.35
H004,2025-09-10 19:00,0.89
H004,2025-09-10 20:00,0.96
H004,2025-09-10 21:00,1.67
H004,2025-09-10 22:00,1.1
H004,2025-09-10 23:00,2.21
H005,2025-09-10 00:00,1.21
H005,2025-09-10 01:00,2.4
H005,2025-09-10 02:00,1.72
H005,2025-09-10 03:00,1.95
H005,2025-09-10 04:00,0.63
H005,2025-09-10 05:00,1.23
H005,2025-09-10 06:00,0.75
H005,2025-09-10 07:00,0.51
H005,2025-09-10 08:00,1.97
H005,2025-09-10 09:00,1.09
H005,2025-09-10 10:00,1.08
H005,2025-09-10 11:00,1.23
H005,2025-09-10 12:00,1.49
H005,2025-09-10 13:00,2.38
H005,2025-09-10 14:00,1.09
H005,2025-09-10 15:00,1.05
H005,2025-09-10 16:00,0.72
H005,2025-09-10 17:00,1.83
H005,2025-09-10 18:00,2.28
H005,2025-09-10 19:00,1.14
H005,2025-09-10 20:00,1.83
H005,2025-09-10 21:00,1.59
H005,2025-09-10 22:00,2.42
H005,2025-09-10 23:00,
H006,2025-09-10 00:00,2.49
H006,2025-09-10 01:00,1.43
H006,2025-09-10 02:00,1.65
H006,2025-09-10 03:00,1.47
H006,2025-09-10 04:00,
H006,2025-09-10 05:00,
H006,2025-09-10 06:00,2.44
H006,2025-09-10 07:00,1.24
H006,2025-09-10 08:00,1.2
H006,2025-09-10 09:00,1.32
H006,2025-09-10 10:00,1.03
H006,2025-09-10 11:00,2.29
H006,2025-09-10 12:00,1.71
H006,2025-09-10 13:00,1.36
H006,2025-09-10 14:00,0.81
H006,2025-09-10 15:00,0.88
H006,2025-09-10 16:00,0.51
H006,2025-09-10 17:00,0.52
H006,2025-09-10 18:00,1.75
H006,2025-09-10 19:00,1.3
H006,2025-09-10 20:00,0.65
H006,2025-09-10 21:00,1.31
H006,2025-09-10 22:00,2.13
H006,2025-09-10 23:00,1.26
H007,2025-09-10 00:00,0.71
H007,2025-09-10 01:00,
H007,2025-09-10 02:00,2.4
H007,2025-09-10 03:00,1.79
H007,2025-09-10 04:00,1.85
H007,2025-09-10 05:00,1.03
H007,2025-09-10 06:00,1.74
H007,2025-09-10 07:00,1.66
H007,2025-09-10 08:00,0.95
H007,2025-09-10 09:00,1.19
H007,2025-09-10 10:00,1.7
H007,2025-09-10 11:00,0.52
