household_id,timestamp,consumption_kwh
H001,2025-09-11 00:00,2.47
H001,2025-09-11 01:00,1.84
H001,2025-09-11 02:00,2.08
H001,2025-09-11 03:00,1.83
H001,2025-09-11 04:00,2.29
H001,2025-09-11 05:00,2.27
H001,2025-09-11 06:00,0.98
H001,2025-09-11 07:00,
H001,2025-09-11 08:00,2.15
H001,2025-09-11 09:00,1.56
H001,2025-09-11 10:00,1.71
H001,2025-09-11 11:00,2.07
H001,2025-09-11 12:00,2.08
H001,2025-09-11 13:00,1.41
H001,2025-09-11 14:00,2.08
H001,2025-09-11 15:00,1.4
H001,2025-09-11 16:00,1.06
H001,2025-09-11 17:00,1.3
H001,2025-09-11 18:00,1.72
H001,2025-09-11 19:00,1.36
H001,2025-09-11 20:00,2.01
H001,2025-09-11 21:00,2.09
H001,2025-09-11 22:00,1.28
H001,2025-09-11 23:00,
H002,2025-09-11 00:00,0.66
H002,2025-09-11 01:00,2.45
H002,2025-09-11 02:00,0.55
H002,2025-09-11 03:00,1.85
H002,2025-09-11 04:00,0.63
H002,2025-09-11 05:00,1.78
H002,2025-09-11 06:00,0.61
H002,2025-09-11 07:00,0.84
H002,2025-09-11 08:00,2.16
H002,2025-09-11 09:00,1.53
H002,2025-09-11 10:00,1.55
H002,2025-09-11 11:00,0.71
H002,2025-09-11 12:00,1.39
H002,2025-09-11 13:00,0.71
H002,2025-09-11 14:00,1.31
H002,2025-09-11 15:00,1.76
H002,2025-09-11 16:00,0.62
H002,2025-09-11 17:00,1.62
H002,2025-09-11 18:00,2.32
H002,2025-09-11 19:00,2.46
H002,2025-09-11 20:00,2.24
H002,2025-09-11 21:00,1.07
H002,2025-09-11 22:00,0.57
H002,2025-09-11 23:00,1.63
H003,2025-09-11 00:00,0.92
H003,2025-09-11 01:00,0.9
H003,2025-09-11 02:00,2.06
H003,2025-09-11 03:00,1.62
H003,2025-09-11 04:00,1.45
H003,2025-09-11 05:00,2.18
H003,2025-09-11 06:00,1.2
H003,2025-09-11 07:00,1.62
H003,2025-09-11 08:00,0.59
H003,2025-09-11 09:00,1.04
H003,2025-09-11 10:00,1.62
H003,2025-09-11 11:00,2.11
H003,2025-09-11 12:00,1.74
H003,2025-09-11 13:00,2.13
H003,2025-09-11 14:00,0.53
H003,2025-09-11 15:00,0.91
H003,2025-09-11 16:00,1.7
H003,2025-09-11 17:00,1.6
H003,2025-09-11 18:00,1.37
H003,2025-09-11 19:00,0.55
H003,2025-09-11 20:00,1.84
H003,2025-09-11 21:00,1.37
H003,2025-09-11 22:00,0.62
