household_id,timestamp,consumption_kwh
H001,2025-09-10 00:00,1.08
H001,2025-09-10 01:00,2.38
H001,2025-09-10 02:00,0.59
H001,2025-09-10 03:00,1.25
H001,2025-09-10 04:00,1.63
H001,2025-09-10 05:00,0.91
H001,2025-09-10 06:00,2.12
H001,2025-09-10 07:00,1.49
H001,2025-09-10 08:00,1.16
H001,2025-09-10 09:00,1.56
H001,2025-09-10 10:00,1.57
H001,2025-09-10 11:00,1.35
H001,2025-09-10 12:00,1.73
H001,2025-09-10 13:00,1.22
H001,2025-09-10 14:00,1.73
H001,2025-09-10 15:00,0.99
H001,2025-09-10 16:00,1.67
H001,2025-09-10 17:00,0.67
H001,2025-09-10 18:00,2.43
H001,2025-09-10 19:00,1.45
H001,2025-09-10 20:00,1.99
H001,2025-09-10 21:00,2.07
H001,2025-09-10 22:00,0.61
H001,2025-09-10 23:00,2.24
H002,2025-09-10 00:00,1.79
H002,2025-09-10 01:00,2.11
H002,2025-09-10 02:00,2.14
H002,2025-09-10 03:00,0.84
H002,2025-09-10 04:00,1.67
H002,2025-09-10 05:00,2.38
H002,2025-09-10 06:00,1.74
H002,2025-09-10 07:00,1.38
H002,2025-09-10 08:00,1.44
H002,2025-09-10 09:00,2.35
H002,2025-09-10 10:00,1.23
H002,2025-09-10 11:00,1.89
H002,2025-09-10 12:00,1.46
H002,2025-09-10 13:00,1.54
H002,2025-09-10 14:00,1.76
H002,2025-09-10 15:00,0.95
H002,2025-09-10 16:00,0.78
H002,2025-09-10 17:00,1.12
H002,2025-09-10 18:00,2.25
H002,2025-09-10 19:00,1.32
H002,2025-09-10 20:00,1.28
H002,2025-09-10 21:00,1.52
H002,2025-09-10 22:00,1.83
H002,2025-09-10 23:00,1.54
H003,2025-09-10 00:00,1.43
H003,2025-09-10 01:00,1.27
H003,2025-09-10 02:00,0.73
H003,2025-09-10 03:00,2.29
H003,2025-09-10 04:00,2.16
H003,2025-09-10 05:00,1.36
H003,2025-09-10 06:00,2.16
H003,2025-09-10 07:00,1.48
H003,2025-09-10 08:00,1.18
H003,2025-09-10 09:00,0.96
H003,2025-09-10 10:00,2.01
H003,2025-09-10 11:00,1.61
H003,2025-09-10 12:00,0.74
H003,2025-09-10 13:00,1.59
H003,2025-09-10 14:00,1.36
H003,2025-09-10 15:00,1.13
H003,2025-09-10 16:00,1.22
H003,2025-09-10 17:00,1.99
H003,2025-09-10 18:00,1.58
H003,2025-09-10 19:00,2.29
H003,2025-09-10 20:00,0.79
H003,2025-09-10 21:00,1.23
H003,2025-09-10 22:00,2.18
H003,2025-09-10 23:00,
H004,2025-09-10 00:00,0.97
H004,2025-09-10 01:00,0.59
H004,2025-09-10 02:00,2.26
H004,2025-09-10 03:00,2.17
H004,2025-09-10 04:00,2.4
H004,2025-09-10 05:00,1.26
H004,2025-09-10 06:00,2.28
H004,2025-09-10 07:00,0.96
H004,2025-09-10 08:00,2.19
H004,2025-09-10 09:00,0.7
H004,2025-09-10 10:00,1.87
H004,2025-09-10 11:00,1.44
H004,2025-09-10 12:00,1.12
H004,2025-09-10 13:00,1.52
H004,2025-09-10 14:00,1.56
H004,2025-09-10 15:00,0.68
H004,2025-09-10 16:00,0.59
H004,2025-09-10 17:00,0.82
H004,2025-09-10 18:00,0.91
H004,2025-09-10 19:00,0.72
H004,2025-09-10 20:00,2.46
H004,2025-09-10 21:00,1.36
H004,2025-09-10 22:00,1.57
H004,2025-09-10 23:00,1.27
H005,2025-09-10 00:00,1.07
H005,2025-09-10 01:00,1.1
H005,2025-09-10 02:00,0.84
H005,2025-09-10 03:00,1.19
H005,2025-09-10 04:00,0.53
H005,2025-09-10 05:00,2.49
H005,2025-09-10 06:00,2.05
H005,2025-09-10 07:00,2.38
H005,2025-09-10 08:00,1.39
H005,2025-09-10 09:00,1.12
H005,2025-09-10 10:00,1.93
H005,2025-09-10 11:00,1.27
H005,2025-09-10 12:00,
H005,2025-09-10 13:00,1.68
H005,2025-09-10 14:00,0.83
H005,2025-09-10 15:00,
H005,2025-09-10 16:00,2.14
H005,2025-09-10 17:00,1.23
H005,2025-09-10 18:00,2.29
H005,2025-09-10 19:00,1.7
H005,2025-09-10 20:00,2.21
H005,2025-09-10 21:00,2.03
H005,2025-09-10 22:00,1.12
H005,2025-09-10 23:00,0.81
H006,2025-09-10 00:00,0.76
H006,2025-09-10 01:00,2.24
H006,2025-09-10 02:00,1.39
H006,2025-09-10 03:00,1.77
H006,2025-09-10 04:00,1.98
H006,2025-09-10 05:00,0.96
H006,2025-09-10 06:00,0.79
H006,2025-09-10 07:00,2.48
H006,2025-09-10 08:00,2.29
H006,2025-09-10 09:00,1.91
H006,2025-09-10 10:00,1.96
H006,2025-09-10 11:00,0.77
H006,2025-09-10 12:00,2.27
H006,2025-09-10 13:00,1.36
H006,2025-09-10 14:00,1.56
H006,2025-09-10 15:00,2.25
H006,2025-09-10 16:00,0.93
H006,2025-09-10 17:00,2.44
H006,2025-09-10 18:00,0.94
H006,2025-09-10 19:00,1.5
H006,2025-09-10 20:00,0.9
H006,2025-09-10 21:00,1.24
H006,2025-09-10 22:00,0.6
H006,2025-09-10 23:00,0.61
H007,2025-09-10 00:00,1.5
H007,2025-09-10 01:00,1.13
H007,2025-09-10 02:00,1.76
H007,2025-09-10 03:00,
H007,2025-09-10 04:00,1.46
H007,2025-09-10 05:00,0.64
H007,2025-09-10 06:00,2.35
H007,2025-09-10 07:00,1.81
H007,2025-09-10 08:00,0.6
H007,2025-09-10 09:00,2.15
H007,2025-09-10 10:00,2.24
H007,2025-09-10 11:00,1.19
H007,2025-09-10 12:00,1.5
H007,2025-09-10 13:00,1.86
H007,2025-09-10 14:00,0.94
H007,2025-09-10 15:00,2.2
H007,2025-09-10 16:00,0.78
