household_id,timestamp,consumption_kwh
H001,2025-09-11 00:00,1.85
H001,2025-09-11 01:00,2.22
H001,2025-09-11 02:00,0.89
H001,2025-09-11 03:00,2.35
H001,2025-09-11 04:00,1.93
H001,2025-09-11 05:00,1.71
H001,2025-09-11 06:00,1.65
H001,2025-09-11 07:00,2.05
H001,2025-09-11 08:00,2.44
H001,2025-09-11 09:00,1.09
H001,2025-09-11 10:00,1.3
H001,2025-09-11 11:00,0.77
H001,2025-09-11 12:00,1.86
H001,2025-09-11 13:00,0.63
H001,2025-09-11 14:00,2.0
H001,2025-09-11 15:00,
H001,2025-09-11 16:00,2.47
H001,2025-09-11 17:00,0.9
H001,2025-09-11 18:00,1.89
H001,2025-09-11 19:00,1.84
H001,2025-09-11 20:00,2.34
H001,2025-09-11 21:00,2.01
H001,2025-09-11 22:00,2.04
H001,2025-09-11 23:00,1.58
H002,2025-09-11 00:00,0.65
H002,2025-09-11 01:00,0.84
H002,2025-09-11 02:00,1.19
H002,2025-09-11 03:00,1.99
H002,2025-09-11 04:00,
H002,2025-09-11 05:00,1.14
H002,2025-09-11 06:00,2.08
H002,2025-09-11 07:00,1.69
H002,2025-09-11 08:00,0.67
H002,2025-09-11 09:00,0.75
H002,2025-09-11 10:00,0.61
H002,2025-09-11 11:00,0.98
H002,2025-09-11 12:00,1.82
H002,2025-09-11 13:00,
H002,2025-09-11 14:00,2.03
H002,2025-09-11 15:00,1.06
H002,2025-09-11 16:00,1.49
H002,2025-09-11 17:00,1.39
H002,2025-09-11 18:00,2.46
H002,2025-09-11 19:00,2.29
H002,2025-09-11 20:00,2.31
H002,2025-09-11 21:00,2.17
H002,2025-09-11 22:00,0.69
H002,2025-09-11 23:00,2.07
H003,2025-09-11 00:00,0.95
H003,2025-09-11 01:00,1.1
H003,2025-09-11 02:00,1.86
H003,2025-09-11 03:00,2.49
H003,2025-09-11 04:00,1.88
H003,2025-09-11 05:00,1.52
H003,2025-09-11 06:00,
H003,2025-09-11 07:00,2.39
H003,2025-09-11 08:00,1.92
H003,2025-09-11 09:00,
H003,2025-09-11 10:00,2.49
H003,2025-09-11 11:00,2.37
H003,2025-09-11 12:00,1.45
H003,2025-09-11 13:00,1.8
H003,2025-09-11 14:00,1.82
H003,2025-09-11 15:00,2.19
H003,2025-09-11 16:00,1.77
H003,2025-09-11 17:00,2.44
H003,2025-09-11 18:00,1.45
H003,2025-09-11 19:00,1.49
H003,2025-09-11 20:00,2.27
H003,2025-09-11 21:00,1.05
H003,2025-09-11 22:00,1.02
H003,2025-09-11 23:00,1.05
H004,2025-09-11 00:00,1.92
H004,2025-09-11 01:00,1.07
H004,2025-09-11 02:00,
H004,2025-09-11 03:00,2.12
H004,2025-09-11 04:00,0.81
H004,2025-09-11 05:00,0.69
H004,2025-09-11 06:00,0.72
H004,2025-09-11 07:00,1.6
H004,2025-09-11 08:00,1.57
H004,2025-09-11 09:00,1.36
H004,2025-09-11 10:00,
H004,2025-09-11 11:00,0.97
H004,2025-09-11 12:00,1.07
H004,2025-09-11 13:00,0.66
H004,2025-09-11 14:00,2.01
H004,2025-09-11 15:00,0.95
H004,2025-09-11 16:00,1.74
H004,2025-09-11 17:00,2.41
H004,2025-09-11 18:00,0.62
H004,2025-09-11 19:00,2.25
H004,2025-09-11 20:00,1.65
H004,2025-09-11 21:00,0.61
H004,2025-09-11 22:00,2.47
H004,2025-09-11 23:00,1.32
H005,2025-09-11 00:00,1.41
H005,2025-09-11 01:00,1.27
H005,2025-09-11 02:00,1.24
H005,2025-09-11 03:00,2.18
H005,2025-09-11 04:00,0.76
H005,2025-09-11 05:00,1.99
H005,2025-09-11 06:00,2.21
H005,2025-09-11 07:00,2.31
H005,2025-09-11 08:00,1.21
H005,2025-09-11 09:00,2.24
H005,2025-09-11 10:00,2.1
H005,2025-09-11 11:00,0.9
H005,2025-09-11 12:00,0.57
H005,2025-09-11 13:00,0.72
H005,2025-09-11 14:00,1.27
H005,2025-09-11 15:00,0.7
H005,2025-09-11 16:00,2.13
H005,2025-09-11 17:00,1.11
H005,2025-09-11 18:00,1.87
H005,2025-09-11 19:00,2.11
H005,2025-09-11 20:00,1.69
H005,2025-09-11 21:00,0.9
H005,2025-09-11 22:00,
H005,2025-09-11 23:00,2.14
H006,2025-09-11 00:00,1.46
H006,2025-09-11 01:00,1.59
H006,2025-09-11 02:00,1.18
H006,2025-09-11 03:00,1.67
H006,2025-09-11 04:00,1.73
H006,2025-09-11 05:00,0.73
H006,2025-09-11 06:00,2.05
H006,2025-09-11 07:00,1.31
H006,2025-09-11 08:00,0.6
H006,2025-09-11 09:00,2.02
H006,2025-09-11 10:00,2.28
H006,2025-09-11 11:00,2.35
H006,2025-09-11 12:00,0.93
H006,2025-09-11 13:00,2.18
H006,2025-09-11 14:00,1.42
H006,2025-09-11 15:00,1.85
H006,2025-09-11 16:00,2.16
H006,2025-09-11 17:00,1.71
H006,2025-09-11 18:00,1.48
H006,2025-09-11 19:00,2.21
H006,2025-09-11 20:00,1.07
H006,2025-09-11 21:00,1.41
H006,2025-09-11 22:00,1.46
H006,2025-09-11 23:00,1.66
H007,2025-09-11 00:00,1.07
H007,2025-09-11 01:00,1.64
H007,2025-09-11 02:00,1.06
H007,2025-09-11 03:00,1.22
H007,2025-09-11 04:00,2.24
H007,2025-09-11 05:00,1.73
H007,2025-09-11 06:00,1.4
H007,2025-09-11 07:00,2.12
H007,2025-09-11 08:00,2.38
H007,2025-09-11 09:00,1.15
H007,2025-09-11 10:00,1.19
H007,2025-09-11 11:00,0.76
H007,2025-09-11 12:00,1.54
H007,2025-09-11 13:00,1.47
H007,2025-09-11 14:00,1.27
H007,2025-09-11 15:00,1.67
H007,2025-09-11 16:00,2.48
H007,2025-09-11 17:00,1.73
H007,2025-09-11 18:00,1.29
H007,2025-09-11 19:00,1.42
H007,2025-09-11 20:00,2.32
H007,2025-09-11 21:00,1.8
H007,2025-09-11 22:00,2.08
H007,2025-09-11 23:00,1.29
H008,2025-09-11 00:00,1.8
H008,2025-09-11 01:00,0.98
H008,2025-09-11 02:00,1.69
H008,2025-09-11 03:00,0.58
H008,2025-09-11 04:00,0.96
H008,2025-09-11 05:00,1.69
